상품코드,상품명,가격
G00001,생강진액,10000
G00002,생분해성봉투,150
G00003,서리태,10000
G00004,서목태,10000
G00005,선물세트(곡류5종),17000
G00006,선물세트(귀리),19000
G00007,설기샌드,1100
G00008,섬초,800
G00009,소국,4000
G00010,소창면포,2500
G00011,소창육수주머니,5000
G00012,소포1(방담)(무),3000
G00013,소포1(방담)(타),3000
G00014,소포2,2000
G00015,소포3,3000
G00016,소포4(방담),4500
G00017,소포5(방담),6000
G00018,소포6,4500
G00019,소포7(방담),4600
G00020,소포8,5000
G00021,소포9,5000
G00022,소합1,3800
G00023,소합2,10400
G00024,쇠머리찰떡,1100
G00025,쇠비름진액,10000
G00026,수세미도라지생강진액,13000
G00027,수세미진액,15000
G00028,수수,10000
G00029,수정과,4600
G00030,수제떡갈비,2900
G00031,수제편강,5500
G00032,순두부,2000
G00033,순두부찌개,5000
G00034,스타티스,4000
G00035,스토크,3000
G00036,스투키,4000
G00037,시금치,500
G00038,시금치(노지),1500
G00039,시금치(섬초),1600
G00040,시금치분말,8900
G00041,식빵(쌀),2250
G00042,식혜,5000
G00043,실파,1000
G00044,쌀강정,20000
G00045,쌀라면,1550
G00046,쌀로빚은채식라면,1750
G00047,쌀크림빵,750
G00048,쌀튀밥,3000
G00049,쌈무,2000
G00050,쌈배추,1500
G00051,쌈배추(항암),1500
G00052,쌈장,4000
G00053,쌈채소,1300
G00054,쌈채소(7종),2500
G00055,쑥갓,1000
G00056,쑥개떡,2800
G00057,쑥떡,3500
G00058,쑥미숫가루,13000
G00059,쑥인절미,1400
G00060,쑥절편,1400
G00061,아로니아,6000
G00062,아로니아분말,15000
G00063,아로니아수,1800
G00064,아로니아환,25000
G00065,아마란스,15000
G00066,아삭이고추,1200
G00067,아스파라거스수,1500
G00068,칡(갈근),8000
G00069,케일,600
G00070,케일(즙),1500
G00071,콜라비,1000
G00072,콩깨떡,1800
G00073,콩멥시루떡,500
G00074,콩시루떡,11000
G00075,콩인절미,500
G00076,콩자반,3800
G00077,테이프,300
G00078,토란,3000
G00079,토란대,4000
G00080,토마토,6000
G00081,토마토쥬스,1900
G00082,통밀가루,3500
G00083,통밀건빵,2000
G00084,통밀국수,2700
G00085,통밀쌀,3300
G00086,튤립,5000
G00087,파김치,8000
G00088,파채,1000
G00089,파프리카,2400
G00090,팥,10000
G00091,팥(적),10000
G00092,팥시루떡,3400
G00093,팥찰시루떡,1100
G00094,팽이버섯,900
G00095,편강,20800
G00096,편강(대),24000
G00097,편강(선물세트),14000
G00098,편강(소),5400
G00099,편강(중),15000
G00100,편강.진액세트,28000
G00101,편백공예품,20000
G00102,편백나무도마,20000
G00103,편백나무목침,15000
G00104,편백나무베개볼,10000
G00105,편백나무보조목침,13500
G00106,편백나무볼베개,25000
G00107,편백운동기구,18000
G00108,포기김치,7800
G00109,포장랩,15000
G00110,표고가루,7000
G00111,표고간장,8000
G00112,표고된장,13000
G00113,표고버섯(배지),1500
G00114,표고버섯(배지-슬),1500
G00115,표고버섯(원목),8000
G00116,풋마늘,700
G00117,프리저브드꽃다발,12000
G00118,프리저브드플라워,5000
G00119,프리지아,4000
G00120,피망,2400
G00121,한라봉,10000
G00122,항암쌈채,600
G00123,해물라면,1600
G00124,허브,2000
G00125,허브차(라벤더),5500
G00126,허브차(레몬밤),9500
G00127,허브차(로즈마리),12000
G00128,허브차(박하),9500
G00129,허브차(스테비아),5500
G00130,허브차(캐모마일),12000
G00131,허브차(페퍼민트),9500
G00132,헛개나무,3000
G00133,헛개나무(열매),4500
G00134,헛개열매즙,10000
G00135,현미,5000
G00136,현미가래떡,7000
G00137,현미강정,6500
G00138,현미과자,2000
G00139,현미깡,2250
G00140,현미누룽지차,20000
G00141,현미두부과자,4000
G00142,현미미숫가루,13000
G00143,현미바,10000
G00144,현미시리얼,9900
G00145,현미채식면,1500
G00146,호두,9000
G00147,호박고지,2500
G00148,혼합5곡,15000
G00149,홍고추,2000
G00150,홍고추(청양),2000
G00151,홍화씨,8000
G00152,화훼,4000
G00153,흑미설기,800
G00154,흑보리,6000
G00155,흑임자,14000
G00156,흑임자죽가루,15000
G00157,흰두부,3500
G00158,흰민들레즙,6400
G00159,히야신스,2000
G00160,가래떡,400
G00161,가시오가피,3700
G00162,가지,2300
G00163,간장,12000
G00164,간장(국),6000
G00165,감말랭이,6000
G00166,감식초(복분자),9200
G00167,감식초(오미자),9200
G00168,감자,1000
G00169,감자(수미),1000
G00170,감자(인디언),9500
G00171,갓,1200
G00172,강황분말,14000
G00173,건가지,2000
G00174,건고구마줄기,4000
G00175,건고사리,9000
G00176,건고추,11000
G00177,건고추(청양),4500
G00178,건곤드레,3000
G00179,건곰보배추,10000
G00180,건구기자,8000
G00181,건금화규꽃,8000
G00182,건대추,8000
G00183,건도라지,5000
G00184,건돼지감자,5000
G00185,건모과,5000
G00186,건부지갱이,4000
G00187,건사과,5000
G00188,건여주,6000
G00189,건오미자,8000
G00190,건완두콩,5500
G00191,건우엉,5000
G00192,건인삼,19000
G00193,건죽순,7000
G00194,건취나물,4000
G00195,건칡,6000
G00196,건토란대,3000
G00197,건표고버섯,5000
G00198,건표고버섯(배지),11000
G00199,건표고버섯(원목-슬),6000
G00200,검은콩자반김,1600
G00201,검정콩미숫가루,12000
G00202,겨우살이차,14000
G00203,겨자채(적),1000
G00204,겨자채(청),1200
G00205,결명자,10000
G00206,결명자차,8000
G00207,고구마(꿀),2000
G00208,고구마(달달구리),2500
G00209,고구마(호박),3000
G00210,고구마줄기,3000
G00211,고들빼기김치,8900
G00212,고로쇠수액,5000
G00213,고비,5000
G00214,고사리,4500
G00215,고수,2000
G00216,고추장,20000
G00217,고추장아찌,3500
G00218,고춧가루(매운맛),13000
G00219,고춧가루(보통맛),17000
G00220,곰돌이,1350
G00221,곰보배추분말,15000
G00222,곰취장아찌,6600
G00223,곶감,5000
G00224,과일무차,8000
G00225,과즐,10000
G00226,귀리,6000
G00227,귀리곡물선식,12000
G00228,귀리볶음가루,9000
G00229,근대,1000
G00230,김부각,2700
G00231,김부각(양파),2500
G00232,아스파라거스즙,4500
G00233,아욱,1000
G00234,애호박,800
G00235,약식,1000
G00236,약식(단호박),1000
G00237,양배추,500
G00238,양배추(적),1300
G00239,양배추즙,3500
G00240,양상추,1500
G00241,양파,1000
G00242,양파드레싱,4600
G00243,양파즙,2500
G00244,얼음동동식혜,5000
G00245,엄나무,3000
G00246,엉겅퀴즙,4800
G00247,여주분말,13000
G00248,여주즙,46000
G00249,여주환,34000
G00250,연근,8000
G00251,엿기름,7800
G00252,오가피,3500
G00253,오디,4000
G00254,오디진액,16000
G00255,오리주물럭,12000
G00256,오리훈제(슬),7300
G00257,오미자당절임,34000
G00258,오미자진액,27000
G00259,오색떡국,8000
G00260,오이(취청),1600
G00261,오이고추,1200
G00262,옥보차,7000
G00263,옥수수(팝콘),3500
G00264,옥수수수염,4000
G00265,옥수수차,6000
G00266,옻나무,3000
G00267,와송진액,23000
G00268,왁스플라워,8000
G00269,완두콩,4500
G00270,요거트,4000
G00271,우리밀감자라면,1550
G00272,우리밀김센베,6000
G00273,우리밀김치라면,1500
G00274,우리밀꽈배기과자,3500
G00275,우리밀땅콩센베,6000
G00276,우리밀찐빵,4800
G00277,우리밀콩두부과자,5600
G00278,우리밀크래커,2000
G00279,우리찹쌀팥도넛,4400
G00280,우리콩순두부,2000
G00281,우슬뿌리,5000
G00282,우엉,3500
G00283,우엉(채),5000
G00284,우엉차,9500
G00285,우유,3300
G00286,워터코인,4000
G00287,유과,5000
G00288,유자마들렌,2000
G00289,유자크럼블,2000
G00290,유정란(대란),7000
G00291,유정란(왕란),7500
G00292,유정란(초란),5000
G00293,유정란(특란),7500
G00294,유칼립투스,7000
G00295,율무,15000
G00296,율무깡,3000
G00297,은행,5000
G00298,인삼,12000
G00299,인절미,2800
G00300,일반계육(육계) 통,6000
G00301,일반계육(절단),6000
G00302,일반닭(국내산),9500
G00303,잎새절편,2300
G00304,자반김,2000
G00305,자색양파즙,30000
G00306,자장라면,1900
G00307,작두콩(껍질),10000
G00308,작두콩차,10000
G00309,적돼지감자차,9500
G00310,전자저울,28000
G00311,절편,5500
G00312,조랭이떡,6000
G00313,조미김,1200
G00314,조미김(도시락),2000
G00315,조미김세트,12000
G00316,조선간장,9500
G00317,종량제 완주 10L,180
G00318,종량제 완주 20L,350
G00319,짬뽕라면,7000
G00320,쪽파,3000
G00321,쪽파(뿌리),2000
G00322,찰보리쌀,4000
G00323,찰옥수수,8000
G00324,찰현미,17000
G00325,찰흑미,6000
G00326,참기름,21000
G00327,참깨,18000
G00328,참깨꼬소봉,2800
G00329,참깨드레싱,5600
G00330,참나물,1800
G00331,참송이버섯,6500
G00332,찹쌀,6000
G00333,찹쌀가루,5500
G00334,찹쌀가루(현미),5500
G00335,채식자장,6500
G00336,천연비누(어성초),3000
G00337,천혜향,30000
G00338,청경채,1000
G00339,청국장,10000
G00340,청국장찌개,5000
G00341,청양고추,1800
G00342,취나물,5000
