매장코드,상품코드,재고
S00001,G00001,6
S00001,G00002,66
S00001,G00003,3
S00001,G00004,4
S00001,G00005,5
S00001,G00006,1
S00001,G00007,27
S00001,G00008,1
S00001,G00009,16
S00001,G00010,2
S00001,G00011,1
S00001,G00012,18
S00001,G00013,48
S00001,G00014,18
S00001,G00015,96
S00001,G00016,38
S00001,G00017,190
S00001,G00018,5
S00001,G00019,17
S00001,G00020,6
S00001,G00021,80
S00001,G00022,47
S00001,G00023,8
S00001,G00024,88
S00001,G00025,2
S00001,G00026,1
S00001,G00027,2
S00001,G00028,6
S00001,G00029,5
S00001,G00030,91
S00001,G00031,21
S00001,G00032,45
S00001,G00033,3
S00001,G00034,1
S00001,G00035,12
S00001,G00036,1
S00001,G00037,10
S00001,G00038,53
S00001,G00039,5
S00001,G00040,1
S00001,G00041,1
S00001,G00042,37
S00001,G00043,3
S00001,G00044,8
S00001,G00045,16
S00001,G00046,21
S00001,G00047,4
S00001,G00048,25
S00001,G00049,37
S00001,G00050,4
S00001,G00051,49
S00001,G00052,12
S00001,G00053,24
S00001,G00054,362
S00001,G00055,1
S00001,G00056,1
S00001,G00057,20
S00001,G00058,2
S00001,G00059,1
S00001,G00060,3
S00001,G00061,5
S00001,G00062,2
S00001,G00063,2
S00001,G00064,1
S00001,G00065,1
S00001,G00066,16
S00001,G00067,3
S00001,G00068,1
S00001,G00069,1
S00001,G00070,5
S00001,G00071,11
S00001,G00072,2
S00001,G00073,2
S00001,G00074,5
S00001,G00075,1
S00001,G00076,29
S00001,G00077,66
S00001,G00078,9
S00001,G00079,5
S00001,G00080,320
S00001,G00081,10
S00001,G00082,5
S00001,G00083,8
S00001,G00084,6
S00001,G00085,1
S00001,G00086,48
S00001,G00087,25
S00001,G00088,190
S00001,G00089,114
S00001,G00090,2
S00001,G00091,5
S00001,G00092,29
S00001,G00093,49
S00001,G00094,21
S00001,G00095,13
S00001,G00096,7
S00001,G00097,25
S00001,G00098,47
S00001,G00099,18
S00001,G00100,1
S00001,G00101,1
S00001,G00102,1
S00001,G00103,1
S00001,G00104,8
S00001,G00105,2
S00001,G00106,1
S00001,G00107,1
S00001,G00108,36
S00001,G00109,15
S00001,G00110,3
S00001,G00111,1
S00001,G00112,4
S00001,G00113,5
S00001,G00114,5
S00001,G00115,2
S00001,G00116,13
S00001,G00117,2
S00001,G00118,1
S00001,G00119,122
S00001,G00120,3
S00001,G00121,10
S00001,G00122,2
S00001,G00123,27
S00001,G00124,2
S00001,G00125,2
S00001,G00126,2
S00001,G00127,1
S00001,G00128,2
S00001,G00129,1
S00001,G00130,3
S00001,G00131,1
S00001,G00132,2
S00001,G00133,1
S00001,G00134,15
S00001,G00135,9
S00001,G00136,13
S00001,G00137,8
S00001,G00138,33
S00001,G00139,32
S00001,G00140,1
S00001,G00141,69
S00001,G00142,2
S00001,G00143,3
S00001,G00144,5
S00001,G00145,26
S00001,G00146,7
S00001,G00147,2
S00001,G00148,12
S00001,G00149,3
S00001,G00150,10
S00001,G00151,3
S00001,G00152,13
S00001,G00153,43
S00001,G00154,7
S00001,G00155,1
S00001,G00156,2
S00001,G00157,291
S00001,G00158,1
S00001,G00159,1
S00001,G00160,4
S00001,G00161,8
S00001,G00162,108
S00001,G00163,1
S00001,G00164,4
S00001,G00165,2
S00001,G00166,1
S00001,G00167,1
S00001,G00168,24
S00001,G00169,9
S00001,G00170,1
S00001,G00171,6
S00001,G00172,1
S00001,G00173,4
S00001,G00174,8
S00001,G00175,1
S00001,G00176,2
S00001,G00177,3
S00001,G00178,7
S00001,G00179,5
S00001,G00180,8
S00001,G00181,1
S00001,G00182,4
S00001,G00183,1
S00001,G00184,7
S00001,G00185,3
S00001,G00186,2
S00001,G00187,1
S00001,G00188,12
